year,Tube,preservant,numfich,tube_id,date,month,village,method,position,compound_id,na1,na2,espece,stade,sexe,condit,initiale Nb of mosquitoes available ,Nb used for ELISA,num_elisa_corrected,available,sampled for Tristan,to_sample,parturit,Cluster,study
2015,"EPPENDORF 1,5ml",Silicagel,5,113,42250,09,NATIERA,CDC,INT,77,NA,20H-06H,GA,ADULTE,F,AJ,19,7,7,12,11,11,NA,10,
2015,"EPPENDORF 1,5ml",Silicagel,4,92,42192,07,BOUSSANRA I,CDC,INT,12,NA,20H-06H,GA,ADULTE,F,AJ,17,6,6,11,11,11,NA,26,
2015,"EPPENDORF 1,5ml",Silicagel,6,139,42263,09,SISRANKA,CDC,INT,89,NA,20H-06H,GA,ADULTE,F,AJ,18,7,7,11,11,11,NA,29,
2015,"EPPENDORF 1,5ml",Silicagel,6,129,42257,09,KOFLANDE,CDC,INT,17,NA,20H-06H,GA,ADULTE,F,AJ,17,6,6,11,11,11,NA,37,
2015,"EPPENDORF 1,5ml",Silicagel,4,96,42197,07,KANKOUNABA II,CDC,INT,69,NA,20H-06H,GA,ADULTE,F,AJ,17,5,5,12,12,12,NA,1,
2015,"EPPENDORF 1,5ml",Silicagel,5,109,42250,09,KANGOUNABA I,CDC,INT,31,NA,20H-06H,GA,ADULTE,F,AJ,99,32,32,67,12,12,NA,1,
2015,"EPPENDORF 1,5ml",Silicagel,5,111,42250,09,KANGOUNABA I,CDC,INT,36,NA,20H-06H,GA,ADULTE,F,AJ,23,11,11,12,12,12,NA,1,
2014,FALCON 14ml,Silicagel,3,112,41885,09,BOUNOUMBA,CDC,INT,323,,,An GA,ADULTE,F,AJ,19,7,7,12,12,12,NA,4,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,98,42199,07,TIEFORA II,CDC,INT,834,NA,20H-06H,GA,ADULTE,F,AJ,22,10,10,12,12,12,NA,11,
2014,FALCON 14ml,Silicagel,1,28,41893,09,BOUNOUBA,CDC,INT,109,,,An GA,ADULTE,F,AJ,70,19,19,51,12,12,NA,39,WP6
2014,FALCON 14ml,Silicagel,3,104,41883,09,KANGOUNABA II,CDC,INT,85,,,An GA,ADULTE,F,AJ,20,7,7,13,13,13,NA,1,WP6
2015,"EPPENDORF 1,5ml",Silicagel,6,134,42258,09,KIESSE(KEHINSA),CDC,INT,267,NA,20H-06H,GA,ADULTE,F,AJ,91,31,31,60,13,13,NA,2,
2015,"EPPENDORF 1,5ml",Silicagel,6,128,42257,09,KOFING,CDC,INT,408,NA,20H-06H,GA,ADULTE,F,AJ,20,7,7,13,13,13,NA,9,
2015,"EPPENDORF 1,5ml",Silicagel,4,100,42199,07,SANHOUROU,CDC,INT,235,NA,20H-06H,GA,ADULTE,F,AJ,22,9,9,13,13,13,NA,12,
2015,"EPPENDORF 1,5ml",Silicagel,6,141,42263,09,BOULO-KOMARA,CDC,INT,196,NA,20H-06H,GA,ADULTE,F,AJ,134,46,46,88,13,13,NA,29,
2014,FALCON 14ml,Silicagel,5,223,41905,09,KANKOUNADENI,CDC,INT,13,,,An GA,ADULTE,F,AJ,19,6,6,13,13,13,NA,36,WP6
2014,FALCON 14ml,Silicagel,4,195,41901,09,BOLOMAKOTE,CDC,INT,214,,,An GA,ADULTE,F,AJ,22,7,7,15,15,15,NA,9,WP6
2015,"EPPENDORF 1,5ml",Silicagel,5,101,42201,07,SOBARA II,CDC,INT,311,NA,20H-06H,GA,ADULTE,F,AJ,26,10,10,16,16,16,NA,3,
2015,"EPPENDORF 1,5ml",Silicagel,5,123,42254,09,TIEFORA II,CDC,INT,834,NA,20H-06H,GA,ADULTE,F,AJ,21,5,5,16,16,16,NA,11,
2014,FALCON 14ml,Silicagel,3,113,41885,09,FRIGARA,CDC,INT,502,,,An GA,ADULTE,F,AJ,25,9,9,16,16,16,NA,20,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,91,42186,07,BAMAKO,CDC,INT,70,NA,20H-06H,GA,ADULTE,F,AJ,24,8,8,16,16,16,NA,20,
2014,FALCON 14ml,Silicagel,2,53,41850,07,KANKOUNADENI,CDC,INT,91,,,An GA,ADULTE,F,AJ,24,8,8,16,16,16,NA,36,WP6
2014,FALCON 14ml,Silicagel,3,106,41883,09,MOSSIBOUGOU,CDC,INT,294,,,An GA,ADULTE,F,AJ,26,9,9,17,17,17,NA,10,WP6
2015,"EPPENDORF 1,5ml",Silicagel,5,119,42254,09,DASSORPIRE,CDC,INT,932,NA,20H-06H,GA,ADULTE,F,AJ,23,6,6,17,17,17,NA,12,
2014,FALCON 14ml,Silicagel,4,171,41899,09,SISRANKA,CDC,INT,114,,,An GA,ADULTE,F,AJ,26,9,9,17,17,17,NA,29,WP6
2015,"EPPENDORF 1,5ml",Silicagel,5,116,42251,09,SOBARA III,CDC,INT,269,NA,20H-06H,GA,ADULTE,F,AJ,27,9,9,18,18,18,NA,3,
2014,FALCON 14ml,Silicagel,1,34,41894,09,LOMBO,CDC,INT,218,,,An GA,ADULTE,F,AJ,28,10,10,18,18,18,NA,18,WP6
2015,"EPPENDORF 1,5ml",Silicagel,6,126,42256,09,BOUSSANRA I,CDC,INT,4,NA,20H-06H,GA,ADULTE,F,AJ,31,13,13,18,18,18,NA,26,
2015,"EPPENDORF 1,5ml",Silicagel,6,126,42256,09,BOUSSANRA I,CDC,INT,4,NA,20H-06H,GA,ADULTE,F,AJ,31,13,13,18,18,18,NA,26,
2015,"EPPENDORF 1,5ml",Silicagel,5,107,42249,09,BAMAKO,CDC,INT,70,NA,20H-06H,GA,ADULTE,F,AJ,80,31,31,49,19,19,NA,20,
2014,FALCON 14ml,Silicagel,1,41,41894,09,DANDOUGOU,CDC,INT,46,,,An GA,ADULTE,F,AJ,41,14,14,27,20,20,NA,2,WP6
2014,FALCON 14ml,Silicagel,3,123,41889,09,SOBARA II,CDC,INT,291,,,An GA,ADULTE,F,AJ,45,12,12,33,20,20,NA,3,WP6
2015,"EPPENDORF 1,5ml",Silicagel,5,106,42249,09,YABLE I,CDC,INT,309,NA,20H-06H,GA,ADULTE,F,AJ,44,16,16,28,20,20,NA,4,
2014,FALCON 14ml,Silicagel,2,51,41845,07,KOFING,CDC,INT,408,,,An GA,ADULTE,F,AJ,98,33,33,65,20,20,NA,9,WP6
2014,FALCON 14ml,Silicagel,3,135,41890,09,SANHOUNOU,CDC,INT,235,,,An GA,ADULTE,F,AJ,32,11,11,21,20,20,NA,12,WP6
2015,"EPPENDORF 1,5ml",Silicagel,6,136,42258,09,LOMBO,CDC,INT,218,NA,20H-06H,GA,ADULTE,F,AJ,43,18,18,25,20,20,NA,18,
2014,FALCON 14ml,Silicagel,3,139,41891,09,BOUSSANRA I,CDC,INT,5,,,An GA,ADULTE,F,AJ,35,11,11,24,20,20,NA,26,WP6
2014,FALCON 14ml,Silicagel,5,209,41901,09,KOFLANDE,CDC,INT,90,,,An GA,ADULTE,F,AJ,62,21,21,41,20,20,NA,37,WP6
2014,FALCON 14ml,Silicagel,3,132,41890,09,TIEFORA II,CDC,INT,871,,,An GA,ADULTE,F,AJ,52,12,12,40,22,22,NA,11,WP6
2015,"EPPENDORF 1,5ml",Silicagel,6,131,42257,09,BOUNOUBA,CDC,INT,109,NA,20H-06H,GA,ADULTE,F,AJ,35,12,12,23,23,23,NA,39,
2014,FALCON 14ml,Silicagel,1,1,41820,06,KANGOUNABA I,CDC,INT,69,,,An GA,ADULTE,F,AJ,15,4,4,11,,11,NA,1,WP6
2014,"EPPENDORF 1,5ml",Silicagel,8,4,41820,06,KANGOUNABA I,CDC,INT,36,,,An GA,ADULTE,F,AJ,7,3,3,4,,4,NA,1,WP6
2014,"EPPENDORF 1,5ml",Silicagel,8,12,41820,06,KANGOUNABA I,CDC,INT,85,,,An GA,ADULTE,F,AJ,5,2,2,3,,3,NA,1,WP6
2014,"EPPENDORF 1,5ml",Silicagel,8,11,41820,06,KANGOUNABA I,CDC,INT,79,,,An GA,ADULTE,F,AJ,5,2,2,3,,3,NA,1,WP6
2014,FALCON 14ml,Silicagel,1,10,41827,07,KANGOUNABA I,CDC,INT,36,,,An GA,ADULTE,F,AJ,35,11,11,24,,24,NA,1,WP6
