Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
359_220322_L001.srt.dp	results/359_220322_L001/359_220322_L001.srt.dp.bam	14531406.0	14166807.0	1212240813.0	1207879800.0	54136.9193	81.0	41.6637	0.0242	3.9629	97.49095854867726
35_220322_L001.srt.dp	results/35_220322_L001/35_220322_L001.srt.dp.bam	49242250.0	46718125.0	3735633401.0	3718408842.0	45891.4308	70.0	41.0973	0.032	12.2121	94.874066477466
361_220322_L001.srt.dp	results/361_220322_L001/361_220322_L001.srt.dp.bam	33066787.0	32157558.0	2953180995.0	2942052374.0	53508.1902	88.0	42.3465	0.0255	9.6542	97.2503255305694
362_220322_L001.srt.dp	results/362_220322_L001/362_220322_L001.srt.dp.bam	32777483.0	31768317.0	2977672772.0	2966810413.0	57274.1276	92.0	42.0717	0.0249	9.7342	96.92116078589683
363_220322_L001.srt.dp	results/363_220322_L001/363_220322_L001.srt.dp.bam	25053543.0	24421504.0	2328500783.0	2319742754.0	51447.5853	96.0	42.293	0.0254	7.612	97.47724703048985
364_220322_L001.srt.dp	results/364_220322_L001/364_220322_L001.srt.dp.bam	28366175.0	27589301.0	2396696768.0	2388342262.0	48575.1971	80.0	41.8722	0.0245	7.835	97.26126627929214
365_220322_L001.srt.dp	results/365_220322_L001/365_220322_L001.srt.dp.bam	23771771.0	23154545.0	2148541200.0	2140350777.0	51482.759	90.0	42.4179	0.0253	7.0237	97.40353379645126
369_220322_L001.srt.dp	results/369_220322_L001/369_220322_L001.srt.dp.bam	29521660.0	28111267.0	1938103466.0	1932488454.0	31058.0449	63.0	40.551	0.0234	6.3358	95.22251458759433
36_220322_L001.srt.dp	results/36_220322_L001/36_220322_L001.srt.dp.bam	17426768.0	16915020.0	1361522348.0	1356727225.0	33836.4842	74.0	41.6693	0.0237	4.4509	97.0634371215592
370_220322_L001.srt.dp	results/370_220322_L001/370_220322_L001.srt.dp.bam	29498839.0	28046838.0	1957749925.0	1951641564.0	40072.6347	64.0	40.6955	0.0237	6.4	95.0777689928746
373_220322_L001.srt.dp	results/373_220322_L001/373_220322_L001.srt.dp.bam	19732496.0	15916357.0	1107702438.0	1104144343.0	52324.9088	63.0	40.549	0.0232	3.6212	80.66063715406302
37_220322_L001.srt.dp	results/37_220322_L001/37_220322_L001.srt.dp.bam	17816322.0	17130217.0	1213116789.0	1209311453.0	26392.2513	63.0	40.8169	0.0222	3.9658	96.1490087572508
386_220322_L001.srt.dp	results/386_220322_L001/386_220322_L001.srt.dp.bam	31201189.0	30098580.0	2344437609.0	2336990594.0	46363.269	71.0	41.1165	0.0233	7.6641	96.46613146697712
387_220322_L001.srt.dp	results/387_220322_L001/387_220322_L001.srt.dp.bam	27721402.0	26823268.0	2339670521.0	2331177988.0	46486.3385	80.0	42.0329	0.0252	7.6486	96.76014221791525
390_220322_L001.srt.dp	results/390_220322_L001/390_220322_L001.srt.dp.bam	22109762.0	21547576.0	1936266567.0	1928970490.0	49062.1875	86.0	42.1376	0.0251	6.3298	97.45729510792563
391_220322_L001.srt.dp	results/391_220322_L001/391_220322_L001.srt.dp.bam	22446166.0	21850063.0	1887977485.0	1880955726.0	50835.1586	82.0	41.9222	0.0247	6.1719	97.34429924469062
393_220322_L001.srt.dp	results/393_220322_L001/393_220322_L001.srt.dp.bam	23437582.0	22826342.0	2050902014.0	2043210216.0	48019.5618	86.0	42.13	0.0252	6.7046	97.39205179100814
394_220322_L001.srt.dp	results/394_220322_L001/394_220322_L001.srt.dp.bam	30904967.0	30096772.0	2695391022.0	2685359742.0	47457.1938	85.0	42.1881	0.025	8.8114	97.38490256274986
398_220322_L001.srt.dp	results/398_220322_L001/398_220322_L001.srt.dp.bam	25461013.0	24847357.0	2316856720.0	2308195321.0	51259.3946	91.0	42.1966	0.0253	7.574	97.58982095488503
399_220322_L001.srt.dp	results/399_220322_L001/399_220322_L001.srt.dp.bam	29786894.0	29140358.0	2831560464.0	2821200006.0	58141.3463	100.0	42.3884	0.0251	9.2566	97.829461507467
39_220322_L001.srt.dp	results/39_220322_L001/39_220322_L001.srt.dp.bam	23119972.0	22452118.0	1877867560.0	1871304121.0	40072.5781	77.0	41.9593	0.0244	6.1389	97.11135463312844
